time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-08-12 00:00:00+00:00,7,7,137,33
2023-08-13 00:00:00+00:00,12,12,549,56
2023-08-14 00:00:00+00:00,17,12,304,53
2023-08-15 00:00:00+00:00,12,11,166,43
2023-08-16 00:00:00+00:00,12,12,451,58
2023-08-17 00:00:00+00:00,7,6,234,49
2023-08-18 00:00:00+00:00,11,10,318,62
2023-08-19 00:00:00+00:00,8,7,208,25
2023-08-20 00:00:00+00:00,5,5,195,35
2023-08-21 00:00:00+00:00,8,7,247,47
2023-08-22 00:00:00+00:00,12,10,332,45
2023-08-23 00:00:00+00:00,12,7,378,48
2023-08-24 00:00:00+00:00,6,6,349,56
2023-08-25 00:00:00+00:00,8,7,246,49
2023-08-26 00:00:00+00:00,6,5,290,33
2023-08-27 00:00:00+00:00,7,7,562,34
2023-08-28 00:00:00+00:00,10,9,346,51
2023-08-29 00:00:00+00:00,3,3,265,47
2023-08-30 00:00:00+00:00,16,11,391,42
2023-08-31 00:00:00+00:00,9,9,175,46
2023-09-01 00:00:00+00:00,8,7,518,37
2023-09-02 00:00:00+00:00,5,4,304,33
2023-09-03 00:00:00+00:00,6,6,312,28
2023-09-04 00:00:00+00:00,10,7,204,36
2023-09-05 00:00:00+00:00,16,13,549,64
2023-09-06 00:00:00+00:00,20,9,300,47
2023-09-07 00:00:00+00:00,13,12,251,52
2023-09-08 00:00:00+00:00,15,11,277,42
2023-09-09 00:00:00+00:00,4,4,71,19
2023-09-10 00:00:00+00:00,11,7,367,26
2023-09-11 00:00:00+00:00,14,10,361,52
2023-09-12 00:00:00+00:00,7,6,387,49
2023-09-13 00:00:00+00:00,24,16,150,41
2023-09-14 00:00:00+00:00,15,9,314,46
2023-09-15 00:00:00+00:00,11,10,366,43
2023-09-16 00:00:00+00:00,5,5,231,32
2023-09-17 00:00:00+00:00,7,6,252,21
2023-09-18 00:00:00+00:00,17,8,357,55
2023-09-19 00:00:00+00:00,9,7,86,39
2023-09-20 00:00:00+00:00,9,5,189,37
2023-09-21 00:00:00+00:00,10,7,175,38
2023-09-22 00:00:00+00:00,7,4,224,38
2023-09-23 00:00:00+00:00,12,8,279,29
2023-09-24 00:00:00+00:00,13,8,153,24
2023-09-25 00:00:00+00:00,10,8,236,41
2023-09-26 00:00:00+00:00,7,5,296,39
2023-09-27 00:00:00+00:00,14,9,114,31
2023-09-28 00:00:00+00:00,7,6,508,42
2023-09-29 00:00:00+00:00,3,3,217,24
2023-09-30 00:00:00+00:00,5,5,146,19
2023-10-01 00:00:00+00:00,4,4,229,28
